"gaze_0_x","gaze_0_y","gaze_0_z","gaze_1_x","gaze_1_y","gaze_1_z","gaze_angle_x","gaze_angle_y","pose_Rx","pose_Ry","pose_Rz","AU01_r","AU02_r","AU04_r","AU05_r","AU06_r","AU07_r","AU09_r","AU10_r","AU12_r","AU14_r","AU15_r","AU17_r","AU20_r","AU23_r","AU25_r","AU26_r","AU45_r","State"
0.024428,0.008021,-0.999669,-0.098578,0.013445,-0.995039,-0.037,0.011,-0.08,0.015,-0.025,0,0,0.16,0,0,0.25,0,0,0,0,0.48,1.59,0.33,0,0.29,1.11,0.26,100
0.033353,0.068236,-0.997111,-0.116043,0.097524,-0.988445,-0.042,0.083,-0.032,-0.02,-0.024,0,0,0.02,0.01,0,0,0,0,0,0,0.31,1.3,0.01,0.05,0.1,0.71,0,100
0.034748,-0.012514,-0.999318,-0.129667,-0.06157,-0.989644,-0.048,-0.037,-0.122,-0.073,0.055,0,0,0,0,0,0.26,0,0,0,0,0.06,1.04,0.01,0,0.21,0.26,0.19,100
0.095314,0.010909,-0.995387,-0.104023,-0.071042,-0.992034,-0.004,-0.03,-0.126,-0.071,0.056,0.03,0,0,0,0,0.33,0,0,0,0,0.1,0.68,0,0,0.12,0.01,0.47,100
0.097937,-0.005653,-0.995177,-0.056753,-0.009847,-0.99834,0.021,-0.008,-0.103,-0.009,0.031,0.08,0,1.37,0.12,0,1.5,0.82,0,0,0,0,0.08,0.05,0.23,0,0,0,100
0.082628,-0.006484,-0.996559,-0.090888,-0.000598,-0.995861,-0.004,-0.004,-0.089,0.053,-0.017,0.09,0.15,0,0,0,0,0,0,0,0,0.01,0.06,0,0,0.15,0.02,0,100
0.022253,0.000273,-0.999752,-0.146159,-0.009935,-0.989211,-0.062,-0.005,-0.051,-0.019,0.05,0.03,0.08,0,0.05,0,0.26,0,0,0,0,0,0.4,0,0.23,0.49,0.39,0,100
0.242228,0.46154,-0.853409,-0.129789,0.477278,-0.869115,0.065,0.499,0.381,0.035,-0.124,0,1.35,1.06,0,0.17,0.37,1.02,0,0,0,0,0.08,0,0.09,0.42,0,1.05,-100
0.553702,0.049178,-0.831262,0.428472,-0.035326,-0.902864,0.515,0.008,-0.179,-0.482,0.223,0,0,0,0,0,0,0,0.86,0,0,0.53,0.94,0.18,0,0.05,0.53,0.12,-100
0.026216,-0.203476,-0.978729,-0.123101,-0.186332,-0.974744,-0.05,-0.197,-0.349,0.071,-0.047,0.65,0,0.49,0,0.18,0.96,0.32,0.37,0,0,0.47,0.25,0.39,0.14,0.51,0.37,0,-100
0.102271,0.174784,-0.979281,-0.021564,0.143702,-0.989386,0.041,0.16,-0.072,-0.086,-0.045,2.72,0.59,0,0.83,0.22,0,0,0,0,0,0.46,0.6,0.66,0,0.85,0.7,0,-100
0.476541,-0.158094,-0.864821,0.370153,-0.246313,-0.895721,0.448,-0.226,-0.438,-0.289,0.155,0.12,0,0,0.48,0,0.19,0,0,0,0,0.35,1.18,0.23,0,0.04,1.21,0,-100
0.075646,-0.011977,-0.997063,-0.136349,-0.072785,-0.987983,-0.031,-0.043,-0.194,-0.008,-0.021,0.35,0.11,0.38,0,0,0.69,0.01,0,0,0,0,0.13,0,0,0.08,0.06,1.07,100
0.240916,0.4615,-0.853802,-0.132605,0.47496,-0.869959,0.063,0.498,0.381,0.036,-0.124,0,1.33,1.05,0,0.17,0.4,1.02,0,0,0,0,0.08,0,0.1,0.42,0,1.04,-100
0.195152,0.492227,-0.848309,-0.260425,0.404172,-0.876826,-0.038,0.479,0.431,0.085,-0.113,0,1.39,0.68,0,0.24,0.4,1.24,0,0,0,0,0.04,0,0,0.71,0,1.47,-100
0.471913,-0.142532,-0.870048,0.378255,-0.265981,-0.886667,0.451,-0.228,-0.438,-0.338,0.213,0,0,0,0.2,0,0.24,0,0.05,0,0,0.97,1.63,0.96,0,0,0.83,0,-100
-0.061184,-0.170738,-0.983415,-0.197752,-0.200778,-0.95947,-0.132,-0.189,-0.409,0.06,-0.138,2.72,1.29,0,0.31,0,0,0,0,0,0,0.5,0.47,0,0,0.74,0,0,-100
-0.099316,-0.147908,-0.984002,-0.309388,-0.114589,-0.944007,-0.209,-0.135,-0.363,0.265,0.184,0.09,0,1.21,0,0.25,3.14,0.4,1.1,0.55,0.18,0.34,1.06,0.4,0.79,0.06,0.07,0,-100
0.311639,-0.060278,-0.948287,0.153612,-0.094067,-0.983644,0.236,-0.08,-0.229,-0.28,0.028,1.7,0,0.05,0.12,0.11,0,0,0.88,0.64,0.26,0.06,0,1.11,0,3.04,1.28,0,-100
-0.039836,-0.210671,-0.976745,-0.106397,-0.2092,-0.972067,-0.075,-0.212,-0.459,0.037,0.038,1.76,1.62,0,0.1,0.03,0.83,0,0,0,0,1.76,2.04,0.02,0,0.09,0.29,0,-100
0.076849,-0.049588,-0.995809,-0.101967,-0.094276,-0.99031,-0.013,-0.072,-0.159,-0.113,0.033,0,0,0,0.05,0,0.19,0,0,0,0,0,1.13,0.13,0.32,0,1.18,0,100
0.441873,0.028625,-0.896621,0.337639,0.000186,-0.941276,0.401,0.016,-0.052,-0.51,0.035,0.76,0,2.95,0.1,0,0.18,0,1.11,0,0,0,0.38,0,0,1.03,1.58,0,-100
0.042626,-0.228947,-0.972505,-0.126027,-0.164554,-0.978284,-0.043,-0.199,-0.406,0.115,-0.073,0.32,0,0.04,0,0.08,1.71,0.72,0.97,0.1,0,0,1.9,0.53,1.25,0,0.6,0,-100
0.091276,-0.035979,-0.995175,-0.000425,-0.07098,-0.997478,0.046,-0.054,-0.131,-0.089,0.055,0.04,0,0,0,0,0.2,0,0,0,0,0.2,0.72,0,0,0.38,0.48,0,100
0.055406,0.190284,-0.980164,-0.079172,0.205964,-0.975352,-0.012,0.2,0.166,0.004,0.023,0,0,0.03,0,0,0,0,0,0,0,0,0.36,0,0,0.34,0.15,0.32,100
0.066139,0.014732,-0.997702,-0.125234,-0.014934,-0.992015,-0.03,0,-0.082,-0.014,-0.014,0,0.03,0,0.08,0,0.5,0,0,0,0,0.25,0.7,0.12,0.21,0.15,0.99,0.14,100
