"gaze_0_x","gaze_0_y","gaze_0_z","gaze_1_x","gaze_1_y","gaze_1_z","gaze_angle_x","gaze_angle_y","pose_Tx","pose_Ty","pose_Tz","pose_Rx","pose_Ry","pose_Rz","AU01_r","AU02_r","AU04_r","AU05_r","AU06_r","AU07_r","AU09_r","AU10_r","AU12_r","AU15_r","AU17_r","AU20_r","AU23_r","AU25_r","AU26_r"
-0.301614,-0.402163,-0.864462,-0.455528,-0.404559,-0.792986,-0.429,-0.453,140.8,-52.9,903.9,-0.702,0.464,0.291,1.09,1.43,0.04,0,0,0,0.24,0,0,0.05,0.1,0.06,0,0.81,0.79
-0.304338,-0.39884,-0.865047,-0.456954,-0.400872,-0.794037,-0.43,-0.449,140.7,-52.9,903.9,-0.699,0.468,0.29,1.12,1.45,0.1,0,0,0,0.27,0,0,0.05,0.09,0.05,0,0.89,0.75
-0.307354,-0.395368,-0.865574,-0.459838,-0.395942,-0.794845,-0.433,-0.445,140,-53,903.1,-0.696,0.472,0.285,1.16,1.49,0.14,0,0,0,0.31,0,0,0,0.08,0.05,0,0.9,0.7
-0.308203,-0.394869,-0.8655,-0.461089,-0.395546,-0.794317,-0.434,-0.444,139.9,-53,902.4,-0.697,0.474,0.284,1.13,1.57,0.19,0,0,0.04,0.45,0,0,0,0.05,0,0,0.87,0.69
-0.309478,-0.396533,-0.864283,-0.461647,-0.397703,-0.792915,-0.436,-0.447,139.5,-53,902.2,-0.697,0.476,0.282,1.12,1.58,0.18,0,0,0.04,0.47,0,0,0,0.05,0,0,0.87,0.82
-0.314888,-0.394416,-0.863297,-0.467786,-0.394181,-0.791074,-0.442,-0.445,139,-52.7,900.7,-0.694,0.484,0.279,1.16,1.62,0.24,0,0,0.05,0.49,0,0,0,0.07,0,0,0.89,0.89
-0.316415,-0.394086,-0.862889,-0.468923,-0.393197,-0.79089,-0.443,-0.444,138.8,-52.6,899.9,-0.695,0.486,0.278,1.16,1.59,0.25,0,0,0.01,0.4,0,0,0,0.02,0,0,0.95,0.85
-0.317737,-0.388566,-0.864905,-0.469038,-0.38833,-0.793223,-0.443,-0.438,138.4,-52.5,899.3,-0.689,0.488,0.277,1.22,1.64,0.29,0,0,0.06,0.35,0,0,0,0.02,0,0,0.98,0.66
-0.320156,-0.389696,-0.863503,-0.471038,-0.387765,-0.792314,-0.446,-0.439,137.9,-52.3,899.5,-0.692,0.491,0.276,1.18,1.61,0.24,0,0,0.05,0.3,0,0,0,0,0,0,0.85,0.51
-0.323938,-0.393997,-0.860134,-0.473668,-0.389798,-0.789744,-0.45,-0.443,137.4,-52.1,900.4,-0.695,0.496,0.273,1.18,1.64,0.18,0,0,0.05,0.34,0,0,0,0,0,0,0.7,0.45
-0.324462,-0.393897,-0.859982,-0.474103,-0.38948,-0.78964,-0.451,-0.443,137.3,-52,899.9,-0.697,0.497,0.272,1.11,1.65,0.18,0.04,0,0.01,0.29,0,0,0,0,0,0,0.67,0.4
-0.335343,-0.388157,-0.858416,-0.483621,-0.381288,-0.787864,-0.462,-0.437,135.4,-51.5,897.8,-0.688,0.512,0.266,1.06,1.71,0.27,0.14,0,0.12,0.19,0,0,0.02,0,0,0,0.72,0.31
-0.349304,-0.395445,-0.849476,-0.495822,-0.384968,-0.778434,-0.479,-0.447,134.5,-51.3,897.9,-0.697,0.532,0.269,0.99,1.76,0.32,0.22,0,0.12,0.09,0,0,0.02,0,0,0,0.81,0.23
-0.349415,-0.394088,-0.850061,-0.496335,-0.383412,-0.778876,-0.479,-0.445,134.4,-51.3,898.1,-0.696,0.532,0.266,0.95,1.78,0.33,0.38,0,0.11,0.03,0,0,0.02,0.05,0,0,0.63,0.22
