Frame,EAR,State
,0.277226305,Open
,0.250189695,Open
,0.25829636,Open
,0.241715859,Open
,0.242921813,Open
,0.242200616,Open
,0.24643805,Open
,0.23910866,Open
,0.232543341,Open
,0.236208604,Open
,0.242340547,Open
,0.262381867,Open
,0.254380615,Open
,0.25467939,Open
,0.250356728,Open
,0.235122151,Open
,0.224132261,Open
,0.232178136,Open
,0.243088199,Open
,0.243088846,Open
,0.250179296,Open
,0.235345075,Open
,0.239514693,Open
,0.238340797,Open
,0.258288382,Open
,0.243143045,Open
,0.235264226,Open
,0.226606729,Open
,0.246555535,Open
,0.235512287,Open
,0.235426551,Open
,0.265798295,Open
,0.247667661,Open
,0.262448906,Open
,0.243721439,Open
,0.239233791,Open
,0.247166624,Open
,0.246665588,Open
,0.246360762,Open
,0.246665588,Open
,0.254156014,Open
,0.246653439,Open
,0.246866208,Open
,0.242657604,Open
,0.239514693,Open
,0.245913079,Open
,0.243726319,Open
,0.247037811,Open
,0.254014917,Open
,0.2432958,Open
,0.24283822,Open
,0.24639852,Open
,0.2546401,Open
,0.239527899,Open
,0.243559632,Open
,0.239528971,Open
,0.265595703,Open
,0.245913079,Open
,0.243088199,Open
,0.251131914,Open
,0.246384512,Open
,0.246883962,Open
,0.243507519,Open
,0.246581667,Open
,0.247053101,Open
,0.250666465,Open
,0.250361818,Open
,0.238150272,Open
,0.246717576,Open
,0.242452432,Open
,0.250181023,Open
,0.238988985,Open
,0.223363049,Open
,0.246901433,Open
,0.249998586,Open
,0.245913079,Open
,0.254208604,Open
,0.258126152,Open
,0.249998586,Open
,0.201600179,Blink
,0.040491382,Blink
,0.05533801,Blink
,0.051935353,Open
,0.052582815,Open
,0.046678687,Open
,0.038064219,Open
,0.00675429,Open
,0.028583059,Open
,0.024908553,Open
,0.013754785,Open
,0.022974269,Open
,0.035626035,Open
,0.126679249,Open
,0.180689146,Open
,0.190498491,Open
,0.235683598,Open
,0.228020655,Open
,0.227560269,Open
,0.258160642,Open
,0.270189092,Open
,0.285436967,Open
,0.273768709,Open
,0.281565995,Open
,0.261773118,Open
,0.280793014,Open
,0.273336856,Open
,0.272995728,Open
,0.281565995,Open
,0.281565995,Open
,0.281565995,Open
,0.289331863,Open
,0.285488842,Open
